jobTitle,companyName,meanPay,payRange
Data Scientist - Monthly,THE ICONIC,"A$6,000",A$6K - A$6K
Data Scientist,iSelect,"A$84,218",A$81K - A$88K
Data Scientist,oOh!media,"A$140,000",A$135K - A$145K
Data Scientist,Digital Alchemy,"A$67,272",A$64K - A$69K
Data Scientist,ATO,"A$112,257",A$107K - A$118K
Data Scientist,BAE Systems Applied Intelligence,"A$125,795",A$121K - A$130K
Data Scientist,Teradata,"A$97,541",A$94K - A$101K
Data Scientist,Culture Amp,"A$110,000",A$106K - A$113K
Data Scientist,Campaign Monitor ,"A$100,817",A$98K - A$105K
Data Scientist,Australian Bureau of Meteorology,"A$80,000",A$77K - A$83K
Data Scientist,Finder,"A$140,000",A$134K - A$146K
Data Scientist,Attorney-General's Department,"A$90,000",A$86K - A$93K
Data Scientist,Leadbolt,"A$120,000",A$114K - A$126K
Data Scientist,Gameloft,"A$82,894",A$80K - A$86K
Data Scientist - Hourly Contractor,Industrie IT,A$107,A$103 - A$111
Data Scientist,Rome2rio,"A$115,000",A$111K - A$120K
Data Scientist - Hourly Intern,Cover Genius,A$52,A$50 - A$55
Data Scientist - Contractor,Annalect,"A$131,590",A$127K - A$136K
Data Scientist,Escrow.com,"A$86,849",A$84K - A$90K
Data Scientist,Triple A Super,"A$105,526",A$100K - A$111K
