jobTitle,companyName,meanPay,payRange
Data Analyst,Experian,"A$79,396",A$76K - A$83K
Data Analyst,Metcash,"A$99,000",A$95K - A$103K
Data Analyst,OMD,"A$104,611",A$99K - A$110K
Data Analyst,LEAP Legal Software,"A$66,000",A$64K - A$68K
Data Analyst,Fortescue Metals,"A$151,012",A$144K - A$157K
Data Analyst,Digital Alchemy,"A$58,021",A$55K - A$61K
Data Analyst,Clayton Utz,"A$69,452",A$66K - A$72K
Data Analyst - Hourly Contractor,BGIS,A$28,A$27 - A$29
Data Analyst,Australian Energy Market Operator,"A$90,000",A$86K - A$94K
Data Analyst - Monthly,Mindshare,"A$3,988",A$4K - A$4K
Data Analyst,ABC,"A$60,000",A$58K - A$63K
Data Analyst - Hourly Contractor,Western Union,A$27,A$26 - A$28
Data Analyst - Hourly,Ricoh,A$49,A$47 - A$51
Data Analyst,RAC,"A$58,633",A$57K - A$61K
Data Analyst,Bloomberg L.P.,"A$56,571",A$55K - A$59K
Data Analyst,Dentsu Aegis Network,"A$54,203",A$52K - A$56K
Data Analyst,Lenovo,"A$90,690",A$86K - A$94K
Data Analyst,IQVIA,"A$82,504",A$80K - A$86K
Data Analyst,South32,"A$105,000",A$101K - A$110K
Data Analyst - Intern,HelloFresh,"A$39,189",A$38K - A$41K
