jobTitle,companyName,meanPay,payRange
Data Analyst,News Corp Australia,"A$76,000",A$72K - A$80K
Data Analyst,GlaxoSmithKline,"A$61,600",A$59K - A$64K
Data Analyst,Link Group,"A$55,392",A$54K - A$57K
Data Analyst,Foxtel,"A$77,142",A$74K - A$80K
Data Analyst,Allianz,"A$85,846",A$82K - A$89K
Data Analyst,Australian Government,"A$66,727",A$64K - A$69K
Data Analyst,The University of Adelaide,"A$80,820",A$77K - A$84K
Data Analyst,Arq Group,"A$72,359",A$70K - A$76K
Data Analyst,Medibank,"A$102,956",A$99K - A$107K
Data Analyst,Sportsbet.com.au,"A$77,370",A$75K - A$80K
Data Analyst - Hourly Contractor,Priceline Pharmacy,A$50,A$48 - A$52
Data Analyst - Hourly,NSW Government,A$64,A$62 - A$67
Data Analyst,Freelancer,"A$110,000",A$105K - A$114K
Data Analyst,Grant Thornton,"A$94,745",A$91K - A$98K
Data Analyst - Hourly,Nielsen,A$30,A$29 - A$31
Data Analyst,Zomato,"A$55,800",A$53K - A$58K
Data Analyst,Dan Murphy's,"A$90,000",A$87K - A$94K
Data Analyst,Sydney Trains,"A$104,667",A$100K - A$109K
Data Analyst,Domain Group,"A$123,755",A$118K - A$128K
Data Analyst,NSW Department of Education and Communities ,"A$92,570",A$89K - A$96K
