jobTitle,companyName,meanPay,payRange
Data Analyst,Google,"A$54,203",A$52K - A$57K
Data Analyst - Hourly,Microsoft,A$64,A$62 - A$66
Data Analyst - Monthly,Queensland Health,"A$4,292",A$4K - A$4K
Data Analyst,Australian National University,"A$70,231",A$68K - A$73K
Data Analyst,REA Group,"A$83,413",A$81K - A$87K
Data Analyst - Hourly,Royal Melbourne Institute Of Technology,A$39,A$37 - A$41
Data Analyst,Insurance Australia Group,"A$85,000",A$82K - A$88K
Data Analyst,American Express,"A$85,000",A$81K - A$88K
Data Analyst - Contractor,Fuji Xerox Australia,"A$64,385",A$61K - A$68K
Data Analyst - Hourly Contractor,University of Technology Sydney,A$36,A$35 - A$38
Data Analyst,University of Technology Sydney,"A$85,000",A$81K - A$88K
Data Analyst,Transport for NSW,"A$128,000",A$123K - A$133K
Data Analyst,Schneider Electric,"A$56,570",A$54K - A$59K
Data Analyst - Intern,News Corp,"A$38,631",A$37K - A$40K
Data Analyst,NSW Department of Health,"A$102,691",A$98K - A$106K
Data Analyst,Cognizant Technology Solutions,"A$60,000",A$58K - A$62K
Data Analyst - Hourly Contractor,Tabcorp,A$27,A$26 - A$28
Data Analyst,Jemena,"A$108,671",A$105K - A$113K
Data Analyst,Citi,"A$93,839",A$90K - A$97K
Data Analyst,Uber,"A$96,577",A$93K - A$101K
