jobTitle,companyName,meanPay,payRange
Data Analyst,HCF (Australia),"A$82,000",A$79K - A$85K
Data Analyst - Hourly Intern,Canstar,A$25,A$24 - A$25
Data Analyst,Essential Energy,"A$95,000",A$92K - A$100K
Data Analyst,Halfbrick Studios,"A$64,385",A$62K - A$67K
Data Analyst - Intern,PayPal,"A$61,713",A$59K - A$64K
Data Analyst,Brightstar,"A$105,272",A$102K - A$110K
Data Analyst,Australian Administration Services,"A$71,237",A$69K - A$74K
Data Analyst,Carat,"A$86,919",A$83K - A$90K
Data Analyst,PepsiCo,"A$70,464",A$68K - A$73K
Data Analyst - Hourly,PHD Worldwide,A$28,A$27 - A$29
Data Analyst,Leo Burnett,"A$91,212",A$87K - A$95K
Data Analyst - Monthly,Maersk Group,"A$7,219",A$7K - A$7K
Data Analyst,Ambulance Victoria,"A$92,858",A$89K - A$97K
Data Analyst - Intern,"New South Wales Department of Finance, Services and Innovation","A$63,163",A$60K - A$66K
Data Analyst - Monthly,Jeanswest,"A$5,000",A$5K - A$5K
Data Analyst,iProspect,"A$60,000",A$58K - A$62K
Data Analyst,Australian Bureau of Meteorology,"A$98,058",A$93K - A$102K
Data Analyst,Pioneer Credit,"A$59,238",A$56K - A$62K
Data Analyst,FDM Group,"A$57,000",A$54K - A$59K
Data Analyst,Powerlink,"A$105,714",A$101K - A$110K
