jobTitle,companyName,meanPay,payRange
Data Analyst,KPMG,"A$62,000",A$60K - A$65K
Data Analyst - Hourly Contractor,ANZ Bank,A$34,A$32 - A$35
Data Analyst,Macquarie Group,"A$70,000",A$67K - A$72K
Data Analyst - Hourly Contractor,Optus,A$60,A$58 - A$63
Data Analyst,Qantas,"A$87,000",A$83K - A$91K
Data Analyst - Hourly Contractor,Qantas,A$63,A$60 - A$65
Data Analyst - Hourly,University of Melbourne,A$46,A$45 - A$49
Data Analyst - Contractor,BHP,"A$38,358",A$37K - A$40K
Data Analyst,Infosys,"A$66,026",A$63K - A$68K
Data Analyst,University of Sydney,"A$80,481",A$77K - A$83K
Data Analyst - Hourly,University of Sydney,A$34,A$32 - A$35
Data Analyst,University of Sydney,"A$107,308",A$103K - A$112K
Data Analyst - Contractor,Australia Post,"A$100,000",A$96K - A$105K
Data Analyst,Monash University,"A$97,565",A$94K - A$102K
Data Analyst - Contractor,NBN Co,"A$134,135",A$130K - A$140K
Data Analyst,NBN Co,"A$130,000",A$125K - A$135K
Data Analyst - Hourly,Toll Group,A$33,A$32 - A$35
Data Analyst,Atlassian,"A$145,000",A$138K - A$152K
Data Analyst,Origin Energy,"A$139,225",A$133K - A$144K
Data Analyst - Hourly,Fairfax Media,A$30,A$29 - A$31
