,jobTitle,companyName,meanPay,payRange
0,Health Care Data Analyst,Lumetra,"$85,508",$82K - $89K
1,Business Data Analyst,GEICO,"$77,994",$75K - $80K
2,Senior Data Analyst,Numerator,"$60,140",$57K - $63K
3,Clinical Data Analyst,BD,"$91,324",$88K - $95K
4,Legal Data Analyst,Bloomberg L.P.,"$92,915",$89K - $97K
5,Senior Data Analyst,Qualtrics,"$88,220",$84K - $91K
6,Clinical Data Analyst - Contractor,PPD,"$45,013",$43K - $47K
7,Senior Data Analyst,Paycom,"$58,402",$56K - $60K
8,Senior Data Analyst,E2open,"$100,999",$98K - $104K
9,SAP Data Analyst,Rite Pros,"$119,823",$116K - $125K
10,Data Integration Analyst,Homesite Group,"$100,341",$96K - $104K
11,Merchandising Franchise Data Analyst,RadioShack,"$43,000",$41K - $45K
12,Senior Business Data Analyst/Programmer Analyst,eFulgent,"$62,266",$60K - $65K
13,"Assistant Director, Ra (Research Data Analyst)",Moody's Analytics,"$107,926",$103K - $113K
14,Medical Informaticist (Data Base Design Analyst),Children's Minnesota,"$107,505",$103K - $111K
15,Network Systems and Data Communications Analyst,ObjectWin Technology,"$74,078",$71K - $77K
16,Senior Data Analyst,CRGT,"$81,963",$79K - $86K
17,Data Integration Analyst,Strata Decision Technology,"$69,495",$67K - $73K
18,Data Services Analyst - Hourly,PayFlex,$28,$27 - $29
19,Senior Data Analyst,Clockwork Solutions,"$90,491",$88K - $94K
20,Data Operations Analyst,DISCO,"$49,955",$48K - $52K
21,Data Systems Analyst IV,University of California Berkeley,"$121,722",$117K - $128K
22,Data Health Analyst,Qlarant,"$71,208",$68K - $74K
23,Quantitative Analyst Fixed Income Data Analyst,Citi,"$52,721",$51K - $54K
24,Nutrition Research/Data Analyst,Research Corporation of the University of Hawaii,"$48,603",$46K - $51K
25,Senior Data Analyst,Innit,"$85,060",$82K - $88K
26,Data Analytics Analyst,IQVIA,"$58,588",$57K - $61K
27,Digital Data Analyst - Monthly,Easton Capital,"$4,082",$4K - $4K
28,Senior Data Analyst,WellPoint,"$93,282",$90K - $97K
29,Data Analyst II,Haven for Hope,"$52,556",$51K - $55K
30,Product Data Analyst - Hourly Intern,Network Services Company,$13,$12 - $13
31,Senior Data Analyst,Mountain America Credit Union,"$76,644",$74K - $80K
32,Senior Data Analyst,Eagle Alpha,"$86,603",$83K - $91K
33,Master Data Analyst - Monthly,DyStar,"$3,356",$3K - $4K
34,Data Analyst (HR),Nirvana Enterprises,"$63,976",$61K - $66K
35,Senior Data Analyst,Tableau Software,"$58,708",$57K - $61K
36,Senior Data Analyst,Ogilvy,"$83,910",$80K - $88K
37,Data Analyst Intern,HMS Holdings,"$50,229",$48K - $52K
38,Senior Data Mining Analyst,Intrado,"$86,694",$83K - $90K
39,Computer Systems Analyst (Data Analyst),EMC,"$137,439",$132K - $142K
40,Network Data Communication Analyst,Virtue Group,"$59,287",$57K - $61K
41,Quality Improvement Data Analyst,Boston Medical Center,"$63,914",$61K - $66K
42,Data Analyst III,OGSystems,"$91,472",$88K - $96K
43,Senior Data Analyst Audience Insights,Dominion Enterprises,"$90,358",$87K - $95K
44,Business Data Analyst,Strategic Insight (New York),"$64,551",$62K - $67K
45,Senior Data Analyst,Highmark Health,"$79,726",$77K - $83K
46,Assistant Data Analyst - Hourly,SNI Companies,$18,$17 - $19
47,Marketing Data Analyst,Deutsche Bank,"$73,715",$71K - $77K
48,Corn Data Analyst (Associate Scientist II),Syngenta,"$77,138",$74K - $80K
49,Senior Data Analyst,Tango,"$104,145",$99K - $109K
50,"Research Analyst, Data Manager",The Palo Alto Medical Foundation,"$97,024",$93K - $101K
51,Senior Data Analyst,LinkedIn,"$138,577",$132K - $143K
52,Senior Data Analyst,Exelon Generation,"$85,531",$82K - $89K
53,Senior Data Analyst,Owners.com,"$84,994",$81K - $88K
54,Business Data Analyst I,OHSU,"$61,688",$59K - $64K
55,Programmer/Analyst (Data Quality Analyst) - Hourly,Infoway Software,$35,$33 - $36
56,Senior Data Analyst,Crossix Solutions Inc.,"$67,128",$65K - $70K
57,Marketing Data Analyst - Monthly,Men's Medical Clinic,"$2,238",$2K - $2K
58,Lead Data Analyst,Progressive Insurance,"$91,993",$88K - $95K
59,Call Center Data Analyst,Moen,"$41,633",$40K - $43K
60,Data Stage Developer/Programmer Analyst,AR International,"$55,921",$54K - $59K
61,Senior Data Analyst/Systems,Hanu Software Solutions,"$91,567",$88K - $95K
62,Business Data Analyst,ReliaQuest,"$65,582",$63K - $68K
63,Senior Data Analyst,IGS,"$80,545",$77K - $83K
64,Financial Data Analyst - Hourly,Wells Fargo,$54,$51 - $55
65,Data Warehouse Analyst,Panasonic,"$56,033",$54K - $58K
66,Meta Data Management Analyst - Hourly,QUANTA SYSTEMS,$34,$33 - $36
67,Wireless Network Data Analyst,Alcatel-Lucent,"$101,973",$98K - $105K
68,Business Data Analyst - Hourly,PCS Global Tech,$36,$34 - $37
69,Senior Data Analyst,FIS,"$76,849",$73K - $80K
70,Data Operations Analyst - Hourly Contractor,Placester,$13,$12 - $13
71,Computer Systems Analyst(Data Warehouse Specialist),Popular,"$90,701",$87K - $95K
72,Data Mining Analyst,Verizon,"$75,559",$72K - $79K
73,Senior Data Analyst,T. Rowe Price,"$97,162",$92K - $100K
74,Financial Data Analyst,Personify,"$60,867",$59K - $64K
75,Senior Data Analyst,Lyft,"$145,720",$141K - $151K
76,Test Data Analyst,Configuration Management,"$60,307",$57K - $62K
77,Clinical Data Analyst,Children's Hospital of Philadelphia,"$65,165",$63K - $67K
78,Data Research Analyst - Hourly Contractor,Avison Young,$22,$21 - $23
79,Sales Data Analyst - Hourly,xMatters,$18,$18 - $19
80,Senior Data Analyst - Contractor,VMware,"$79,373",$77K - $83K
81,Senior Data Analyst - Hourly,Visiting Nurse Service of New York,$36,$35 - $38
82,Lead Data Analyst,MOBI Wireless Management,"$40,754",$39K - $42K
83,Senior Data Analyst,Checkr,"$100,000",$97K - $105K
84,Data Analyst Manager,United BioSource,"$118,993",$113K - $124K
85,Data Quality Analyst,Beazley Group,"$40,025",$38K - $42K
86,Data Analyst and Warehousing Specialist - Hourly,ICONMA,$46,$44 - $47
87,Senior Marketing Data Analyst,Intuit,"$91,783",$88K - $95K
88,Scientific Data Analyst,Medical Science & Computing,"$79,892",$76K - $83K
89,Business Data Analyst,Home Care Delivered,"$44,827",$43K - $47K
90,Engineering Data Analyst - Hourly Intern,BMW Manufacturing,$19,$19 - $20
91,Senior Associate Data Analyst,CAPTRUST Financial Advisors,"$63,554",$61K - $66K
92,Data Analyst/Developer,World Marketing,"$42,189",$40K - $44K
93,Senior Data Analyst,HealthCare.com,"$66,810",$64K - $70K
94,Principal Data Analyst,Gartner,"$116,598",$112K - $121K
95,Technical Data Analyst,Dell Technologies,"$73,368",$71K - $76K
96,Senior Data Analyst,AGDATA,"$96,892",$92K - $101K
97,Well Reliability Data Analyst,ampm,"$144,975",$140K - $151K
98,Associate Psychometrician/Data Analyst,The American Board of Pediatrics,"$83,737",$80K - $87K
99,Data Insight Analyst,Sojern,"$61,119",$59K - $63K
100,Senior Data Analyst,Markel,"$138,243",$134K - $145K
101,Network Systems and Data Communications Analyst - Hourly,Technology Services Group,$34,$33 - $35
102,Senior Data Analyst - Hourly Contractor,LexisNexis Legal & Professional,$36,$35 - $37
103,Senior Data Analyst,Simulmedia,"$95,263",$92K - $100K
104,Research Data Analyst,AAMC,"$74,619",$71K - $77K
105,Medical Data Analyst,Mitchell International,"$73,932",$71K - $76K
106,Software Data Analyst,Fortessa Tableware Solutions,"$70,017",$67K - $72K
107,Research Data Analyst,Zenith Insurance,"$53,702",$52K - $55K
108,Programmer/Data Analyst,American Unit,"$72,215",$69K - $75K
109,Data Quality Analyst,Sonic Automotive,"$88,470",$85K - $92K
110,Senior Data Analyst,Cincinnati Children's Hospital,"$92,427",$88K - $96K
111,Data Entry Analyst - Hourly,Access Medical Laboratories,$13,$12 - $13
112,Data Migration Analyst (SAP Isu/Ccs Programmer Ana,3i Group,"$167,279",$159K - $174K
113,Data Analyst/Lead Call Center Representative,Planned Parenthood,"$42,763",$41K - $44K
114,Senior Data Analyst,Education Corporation of America,"$77,005",$73K - $80K
115,SQL Programmer and Data Analyst,National Holdings,"$99,267",$94K - $103K
116,Business Data Analyst - Hourly Contractor,Verizon,$47,$45 - $49
117,Data Entry Analyst - Hourly,Enara Health,$18,$17 - $19
118,Financial Data Analyst,Federal Reserve Bank (NY),"$91,868",$89K - $96K
119,Data Analyst Ll - Hourly Contractor,Intel Corporation,$27,$26 - $28
120,Associate Data Analyst,ConnectWise,"$51,371",$50K - $53K
121,Senior Data Analyst - Hourly,Kindercare,$69,$66 - $72
122,Data Quality Analyst - Hourly Intern,SAP,$19,$18 - $19
123,Data/Research Analyst,SPH Analytics,"$51,167",$49K - $53K
124,Data Analyst Intern,Ascend Learning,"$67,230",$65K - $70K
125,Senior Data Analyst,Biogen,"$94,674",$91K - $99K
126,Program Data Analyst,UC San Diego,"$58,274",$55K - $61K
127,Financial Data Analyst,Allstate,"$65,081",$62K - $68K
128,Data Analyst/Statistician,QSOURCE,"$50,135",$48K - $52K
129,Data Communications Analyst,Aranet,"$86,952",$83K - $91K
130,Product Data Analyst,Barclays,"$105,870",$102K - $111K
131,Senior Data Analyst,Copesan Services,"$72,950",$70K - $76K
132,Health Data Analyst,Beverly Hospital (Beverly),"$32,274",$31K - $34K
133,Data Warehouse Analyst,Central Business Solutions,"$73,886",$71K - $77K
134,Data Analyst II,NCIRE,"$88,436",$85K - $92K
135,Principal Data Analyst,Sagewell,"$53,789",$51K - $56K
136,Senior Data Analyst,Martin Agency,"$89,452",$85K - $92K
137,SAP Data Migration Analyst,Mettler-Toledo,"$85,000",$81K - $89K
138,Data Support Analyst,Analytic Partners,"$84,845",$82K - $89K
139,Data Analyst/Associate,Wells Fargo,"$56,866",$55K - $59K
140,Marketing Data Analyst - Contractor,UC Davis,"$56,002",$54K - $59K
141,Data Reporting Analyst - Hourly Contractor,Spotify,$47,$45 - $49
142,SQL Data Analyst - Hourly Intern,Illinois Mutual,$16,$15 - $17
143,Data & Performance Analyst,ALPS Funds Services,"$45,301",$43K - $47K
144,Business Data Analyst,Reynolds Consumer Products,"$93,101",$89K - $98K
145,Financial Data Analyst,Jedwards,"$51,085",$49K - $53K
146,Senior Statistical Data Analyst - Monthly,Fingerhut,"$7,344",$7K - $8K
147,Data Extraction Analyst,IHME,"$62,549",$61K - $65K
148,Research Data Analyst,University of Kentucky,"$51,869",$50K - $54K
149,Business Data Analyst,Santander Consumer USA,"$90,095",$86K - $93K
150,Business Line Data Analyst,Commerce Bank,"$54,794",$52K - $57K
151,Senior Data Analyst,Ask Applications,"$99,818",$96K - $103K
152,Wellness Manager & Data Analyst,Accenture,"$65,516",$63K - $69K
153,Senior Data Analyst,eClinicalWorks,"$85,800",$82K - $89K
154,Data Reporting Analyst - Hourly,State Farm,$50,$48 - $52
155,Data Integration Analyst,Independent Living System,"$83,997",$80K - $88K
156,Junior Data Analyst,Akora,"$44,830",$43K - $47K
157,Data Communications Analyst - Hourly,Apex Systems,$33,$31 - $34
158,Senior Data Analyst/Database Developer - Hourly Contractor,Swift Solutions,$60,$58 - $62
