jobTitle,companyName,meanPay,payRange
Data Analyst,Midwinter Financial Services,"A$55,545",A$54K - A$58K
Data Analyst - Hourly,SocietyOne,A$21,A$20 - A$22
Data Analyst,BIG4 Holiday Parks of Australia,"A$67,672",A$65K - A$70K
Data Analyst,NBA,"A$78,516",A$75K - A$82K
Data Analyst - Hourly,RateCity,A$21,A$20 - A$22
Data Analyst,RFi Group,"A$72,191",A$69K - A$75K
Data Analyst,Toyota Astra Financial Services,"A$80,339",A$76K - A$84K
Data Analyst,Intercontinental Exchange,"A$49,974",A$48K - A$52K
Data Analyst,Hollard Insurance,"A$74,915",A$71K - A$78K
Data Analyst,IHS Markit,"A$52,636",A$51K - A$55K
Data Analyst,Reinsurance Group of America,"A$73,970",A$71K - A$76K
Data Analyst - Contractor,GroundProbe,"A$47,319",A$46K - A$49K
Data Analyst,Sonepar,"A$58,870",A$57K - A$61K
Data Analyst,Interactive Data,"A$53,785",A$51K - A$56K
Data Analyst,Kepler Analytics,"A$66,000",A$63K - A$68K
Data Analyst,TTG Transportation Technology,"A$66,686",A$64K - A$70K
Data Analyst,Pernix,"A$55,000",A$52K - A$57K
Data Analyst,The Health Roundtable,"A$75,884",A$73K - A$79K
Data Analyst - Hourly,The Home Depot,A$33,A$32 - A$35
Data Analyst,Pegasus,"A$87,660",A$85K - A$91K
